DatasetID,year1,author1,DATA (B) 0.1,ERR-S (B) 0.944,EN (EV) 1.1,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
C0517002,1989,S.E.Kellogg+,2.3734e-4,2.1643e-6,1.045e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C0517002,1989,S.E.Kellogg+,1.2518e-4,6.293e-7,9.9977e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C0517002,1989,S.E.Kellogg+,5.8375e-5,2.898e-7,9.5e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C0517002,1989,S.E.Kellogg+,2.6368e-5,1.5166e-7,8.9999e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C0517002,1989,S.E.Kellogg+,1.1274e-5,8.698e-8,8.501e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C0517002,1989,S.E.Kellogg+,4.5017e-6,2.2181e-8,7.9983e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C0517002,1989,S.E.Kellogg+,1.8816e-6,1.2752e-8,7.4997e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C0517002,1989,S.E.Kellogg+,6.8308e-7,3.1276e-9,7.0001e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C0517002,1989,S.E.Kellogg+,2.2148e-7,2.0514e-9,6.4979e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C0517002,1989,S.E.Kellogg+,7.1917e-8,1.048e-9,6.0012e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C0517002,1989,S.E.Kellogg+,2.0182e-8,4.7654e-10,5.4994e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C0517002,1989,S.E.Kellogg+,4.542e-9,1.8579e-10,4.9997e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C0517002,1989,S.E.Kellogg+,7.6823e-10,6.7414e-11,4.4993e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
